path,name,size_bytes,size_mb,sha1,type,issues,has_issues,is_duplicate
autocomplete_light_custom\autocomplete.init.ce7877f2.js,autocomplete.init.ce7877f2.js,65,0.0,15571db654e7b48db56e31ddcb66d9627c19a731,JS,,False,True
autocomplete_light_custom\init.ce7877f2.js,init.ce7877f2.js,65,0.0,15571db654e7b48db56e31ddcb66d9627c19a731,JS,,False,True
css\App.2651f226.css,App.2651f226.css,564,0.0,0be63cf9418edda239b2c4eedf70b0d157fdbedf,CSS,UPPERCASE,True,False
css\index.6c2104b8.css,index.6c2104b8.css,366,0.0,5c1d01fe7c2c646773fff312b7e9574f1e8852e1,CSS,,False,False
css\select2_custom.e65898ee.css,select2_custom.e65898ee.css,804,0.0,833eb16daa20eefc501b137f40f19fd927fef4f9,CSS,,False,True
css\static_css_tailwind_base.c6dfc145.css,static_css_tailwind_base.c6dfc145.css,60,0.0,57731a91c3fb7979dc5d333da2015189fefad7d3,CSS,,False,True
css\style.c6dfc145.css,style.c6dfc145.css,60,0.0,57731a91c3fb7979dc5d333da2015189fefad7d3,CSS,,False,True
css\style_cb_dca529e9.cd20c6e2.css,style_cb_dca529e9.cd20c6e2.css,16020,0.02,321b21844c961f2251d0cfc2cdd4728b3dfa3c36,CSS,,False,False
css\tailwind.c040ed42.css,tailwind.c040ed42.css,59,0.0,d88dc6b14989074f8d407e9b7f7f855d5816203e,CSS,,False,True
egarage_intro\egarage_intro_6s.mp4,egarage_intro_6s.mp4,40,0.0,29fba569f974735bbdb3debd91908a096bd07953,VIDEO,,False,True
egarage_intro\logo-glow.241d56d2.png,logo-glow.241d56d2.png,32,0.0,79f062d63242ca24d5830e2a307311ba6134976a,IMG,,False,True
egarage_intro\particles_background.webm,particles_background.webm,45,0.0,0d7f90563da5953fa044fbeed84652ac418d3885,VIDEO,,False,True
egarage_intro\script.efb60968.js,script.efb60968.js,29,0.0,f1e8e9835e2b36ed7efa93e9838af88652053d70,JS,,False,True
images\egarage_default_logo.eda79c86.png,egarage_default_logo.eda79c86.png,1470047,1.4,98f8d3f71889532d075adb5c9d05c4ce4e46a170,IMG,,False,True
images\favicon.c92b85a5.ico,favicon.c92b85a5.ico,3870,0.0,1120538c77ad1f28a89243b4b53fe2ac16cc3bc6,IMG,,False,False
images\favicon_32_cb_58284776.fe1c45ed.png,favicon_32_cb_58284776.fe1c45ed.png,1732,0.0,e0127332fa3ed4ea53e7b59814fbcfb37ba62f6c,IMG,,False,False
images\keybd_closed_cb_ce680311.8285ae9f.png,keybd_closed_cb_ce680311.8285ae9f.png,9004,0.01,b61cdb0d1dcc97850d7c478c2ab5d1f4a556463f,IMG,,False,False
images\logo.fd7efd2c.svg,logo.fd7efd2c.svg,2633,0.0,77ae167a511996aa0e6f9e0d81e3788f53001bb4,IMG,,False,False
images\logo192.33dbdd01.png,logo192.33dbdd01.png,5347,0.01,7f4f2d68782a7fafceda84554ecab9b489877500,IMG,,False,False
images\logo512.917515db.png,logo512.917515db.png,9664,0.01,46915f9d02694ed49bfc7a9534947684103dc3fe,IMG,,False,False
img\logo-glow.241d56d2.png,logo-glow.241d56d2.png,32,0.0,79f062d63242ca24d5830e2a307311ba6134976a,IMG,,False,True
img\TallerPro_logo.eda79c86.png,TallerPro_logo.eda79c86.png,1470047,1.4,98f8d3f71889532d075adb5c9d05c4ce4e46a170,IMG,UPPERCASE,True,True
js\App.729c6e80.js,App.729c6e80.js,528,0.0,cd44f1072ea513a62e4aafece656c107fd01a50d,JS,UPPERCASE,True,False
js\coverage_html_cb_497bf287.5d92da3d.js,coverage_html_cb_497bf287.5d92da3d.js,26207,0.02,c0818255bb2b303940e2bcb899694833daf1b7ba,JS,,False,False
js\es.a6403624.js,es.a6403624.js,99,0.0,2aeaadeff9b4be20e4534df9ec66cdb7d612dedd,JS,,False,False
js\fondo_interactivo.d41d8cd9.js,fondo_interactivo.d41d8cd9.js,0,0.0,da39a3ee5e6b4b0d3255bfef95601890afd80709,JS,,False,True
js\index.de8d7d2b.js,index.de8d7d2b.js,535,0.0,21fc8fbbb928940e686eeea15f530c7c853b0c90,JS,,False,False
js\main.652ca6cb.js,main.652ca6cb.js,112,0.0,245fc3d86dcaa16197df09d8f30259ea7620b286,JS,,False,True
js\particles.json,particles.json,0,0.0,da39a3ee5e6b4b0d3255bfef95601890afd80709,OTHER,,False,True
js\playwright.config.92b72f4a.js,playwright.config.92b72f4a.js,2060,0.0,10bf752702ec3f0b74d1de21e4c755b2895c9c2b,JS,,False,False
js\postcss.config.854b3875.js,postcss.config.854b3875.js,82,0.0,8860a68bc6ae8745e3db0b6d090129720e5ecc80,JS,,False,True
js\reportWebVitals.240e2381.js,reportWebVitals.240e2381.js,362,0.0,e2272d40e23ac1d506a912e1af1cf6c7f97e1496,JS,UPPERCASE,True,False
js\script.efb60968.js,script.efb60968.js,29,0.0,f1e8e9835e2b36ed7efa93e9838af88652053d70,JS,,False,True
js\setupTests.1a77571e.js,setupTests.1a77571e.js,241,0.0,c094c2f8aa68cd46c90f53284610e6b909a516f8,JS,UPPERCASE,True,False
js\test_busqueda_repuestos_frontend.spec.cdadc038.js,test_busqueda_repuestos_frontend.spec.cdadc038.js,1964,0.0,a60e5a473ba4b2df75eaeffe3db05aeb9416d4a3,JS,,False,False
